bestsellers_date,list_name,rank,title
2017-01-14,Young Adult E-Book,2,"FLASH OMNIBUS, VOL. 1"
2017-01-14,Combined Print and E-Book Nonfiction,1,Hidden Power: Presidential Marriages That Shaped Our Recent History
2017-01-21,Series Books,8,HOW
2017-01-21,Combined Print and E-Book Nonfiction,15,INSANELY SIMPLE
2017-01-21,Combined Print and E-Book Fiction,1,NEVER ROMANCE A RAKE
2017-01-21,Combined Print and E-Book Nonfiction,14,Auden
2017-01-21,Combined Print and E-Book Fiction,4,Fiction and Repetition : Seven English Novels
2017-01-28,Sports,5,I GOT THIS
2017-01-28,Combined Print and E-Book Nonfiction,13,GOTCHA!
2017-02-04,Combined Print and E-Book Fiction,7,BILLY MARTIN
2017-02-11,Paperback Nonfiction,8,I AM NUMBER FOUR
2017-02-11,Combined Print and E-Book Nonfiction,11,Black Girl in Paris
2017-02-18,Combined Print and E-Book Fiction,10,Gunner's run
2017-02-18,Combined Print and E-Book Fiction,1,HEARTBREAK OF A HUSTLER S WIFE
2017-02-25,Combined Print and E-Book Fiction,6,AGAINST ALL GRAIN
2017-02-25,Hardcover Fiction,6,A Conspiracy of Tall Men
